Exp ;Trial;Relative Score;Score;Status;metric-petclinic_container.container_cpu_limit (millicores);metric-petclinic_container.container_cpu_request (millicores);metric-petclinic_container.container_cpu_used (millicores);metric-petclinic_container.container_memory_limit (bytes);metric-petclinic_container.container_memory_request (bytes);metric-petclinic_container.container_memory_used (bytes);metric-petclinic_container.container_restarts (events);metric-petclinic_webapp.requests_response_time_max (milliseconds);metric-petclinic_webapp.requests_response_time_min (milliseconds);metric-petclinic_webapp.requests_response_time_p50 (milliseconds);metric-petclinic_webapp.requests_response_time_p90 (milliseconds);metric-petclinic_webapp.requests_response_time_p99 (milliseconds);metric-petclinic_webapp.requests_throughput (requests/s);metric-petclinic_workload.k8s_workload_cpu_limit (millicores);metric-petclinic_workload.k8s_workload_cpu_request (millicores);metric-petclinic_workload.k8s_workload_cpu_used (millicores);metric-petclinic_workload.k8s_workload_desired_pods (pods);metric-petclinic_workload.k8s_workload_memory_limit (bytes);metric-petclinic_workload.k8s_workload_memory_request (bytes);metric-petclinic_workload.k8s_workload_memory_used (bytes);metric-petclinic_workload.k8s_workload_running_pods (pods);parameter-petclinic_container.cpu_limit (millicores);parameter-petclinic_container.cpu_request (millicores);parameter-petclinic_hpa.targetCPUUtilizationPercentage (percentage);parameter-petclinic_jvm.jvm_compilationThreads (threads);parameter-petclinic_jvm.jvm_compileThresholdScaling;parameter-petclinic_jvm.jvm_GCTimeRatio;parameter-petclinic_jvm.jvm_gcType;parameter-petclinic_jvm.jvm_maxHeapSize (megabytes);parameter-petclinic_jvm.jvm_tieredCompilation;parameter-petclinic_jvm.jvm_tieredCompilationStopAtLevel
26;1;+16.972630399418097;5.20188574772846;COMPLETED;2798;610;293.99541243829617;2000000000;2000000000;479526473.14285713;0;241.875;0.05533454005147213;2.7544173654377544;5.201885747728457;40.67092120725444;197.85059798438172;5895.785714285715;1285.357142857143;576.4587283947395;2.107142857142857;4214285714.285714;4214285714.285714;1029270162.2857143;2.0535714285714284;2798;610;90;4;4.4908764103522145;28;Serial;621;+TieredCompilation;4
25;1;-2.466364904391005;6.41979055559484;COMPLETED;2564;2000;383.0928523995468;2000000000;2000000000;508223808.80200505;0;58.24561403508772;0.07306089521860476;3.2736531556249244;6.419790555594838;15.4723672703963;194.6471449517092;5262.9473684210525;4105.263157894737;514.5066273349823;2.0526315789473686;4105263157.894737;4105263157.894737;896996765.1929824;1.8421052631578947;2564;2000;90;3;1.135355227388027;98;Parallel;362;-TieredCompilation;4
24;1;-207.168653982635;19.2449339415181;CONSTRAINTS_VIOLATED;2879;1229;169.03641968873035;2000000000;2000000000;434855936;0;41.666666666666664;0.2734968961428472;7.831646591053492;19.24493394151806;24.51633959557434;15.200000000000001;2879;1229;164.86604116892184;1;2000000000;2000000000;434873685.3333333;1;2879;1229;30;4;2.685304058229299;72;G1;2047;+TieredCompilation;2
23;1;-5.283015001713998;6.59626118290826;COMPLETED;2548;2000;366.64243484903545;2000000000;2000000000;477248606.9573935;0;64.12280701754386;0.07465742428015468;3.3322958173292956;6.596261182908257;13.178206075396357;193.70808495249207;5319.508771929824;4175.438596491228;551.5020107935854;2.087719298245614;4175438596.491228;4175438596.491228;998775035.5087719;2.0350877192982457;2548;2000;90;3;1.1053798234833638;99;G1;374;-TieredCompilation;4
22;1;-101.34759984206698;12.6149631741488;CONSTRAINTS_VIOLATED;948;300;132.39580586092984;2000000000;2000000000;695553365.3333334;0;58.333333333333336;0.1380224229516582;6.205500976416356;12.614963174148818;26.369523901645692;17.133435737429497;1896;600;198.75610395733452;2;4000000000;4000000000;1398682965.3333333;2;948;300;90;4;0.5;99;G1;940;-TieredCompilation;4
21;1;+22.003900956255695;4.88666325268273;COMPLETED;3000;2000;671.6151813917556;2000000000;2000000000;547962880;0;32.89473684210526;0.05306597275214927;2.653298637607463;4.886663252682734;11.783790278048572;194.6716218981729;3000;2000;594.6486353687809;1;2000000000;2000000000;548327567.7192982;1;3000;2000;90;4;0.5015015622296383;99;G1;128;+TieredCompilation;4
20;1;+3.382511658995102;6.05334286754125;COMPLETED;2813;617;254.7466040686554;2000000000;2000000000;592818261.3333334;0;172.94642857142858;0.06175799751292134;2.9998691356439964;6.053342867541252;39.97424179314768;198.0831517806899;7585.053571428572;1663.6964285714287;614.333020620973;2.6964285714285716;5392857142.857142;5392857142.857142;1529608338.2857144;2.6964285714285716;2813;617;90;4;4.511730253321455;29;Parallel;627;+TieredCompilation;4
19;1;-1032.87920554612;70.9778982711141;COMPLETED;2859;399;223.68929108457138;2000000000;2000000000;369231968.13061225;0;617.4107142857143;0.7556295702192176;10.831964558575786;70.97789827111414;262.82670369756147;198.54530099899037;42017.08928571428;5863.875;2397.1345644473818;14.696428571428571;29392857142.857143;29392857142.857143;5570787693.714286;14.285714285714286;2859;399;33;3;4.741467702987735;8;G1;735;+TieredCompilation;2
18;1;-16.068750734131008;7.27201624121176;CONSTRAINTS_VIOLATED;2001;2000;353.8966692343599;2000000000;2000000000;367142229.3333333;0;30.833333333333332;0.08630432642802237;4.026033863202598;7.2720162412117615;10.025061364633622;110.36;2001;2000;382.09747266945806;1;2000000000;2000000000;370042197.3333333;1;2001;2000;90;2;0.5143614741016094;74;Parallel;128;-TieredCompilation;4
17;1;-320.547020450464;26.348390445885;COMPLETED;2365;868;265.7138841580436;2000000000;2000000000;401584772.3415205;0;422.8070175438597;0.061254026012357576;2.993076026446235;26.34839044588501;149.19651192549713;194.7376573058719;6638.5964912280715;2436.4912280701756;557.449694551634;2.807017543859649;5614035087.719298;5614035087.719298;1160775284.7719297;2.7017543859649122;2365;868;62;3;0.9349772793905523;98;Serial;397;-TieredCompilation;2
16;1;-212.85912860352698;19.6014573261638;CONSTRAINTS_VIOLATED;2977;1996;126.17983875907295;2000000000;2000000000;419166890.6666667;0;50;0.26291182644311295;7.822480542423296;19.601457326163764;24.53944475118121;15.816666666666665;2977;1996;112.0982469844741;1;2000000000;2000000000;558075904;1;2977;1996;68;3;1.840719684705592;94;G1;1728;+TieredCompilation;1
15;1;-355.65050712984396;28.5477173417206;COMPLETED;2052;473;219.10979411284646;2000000000;2000000000;481045686.9033189;0;636.6071428571429;0.18065111431895894;7.188237544022393;28.54771734172064;252.05120404924673;197.71683962656843;24440.785714285714;5633.767857142857;1829.9950296790225;11.892857142857142;23821428571.42857;23821428571.42857;5918915876.571428;11.357142857142858;2052;473;58;4;4.540736460271741;59;G1;2024;-TieredCompilation;3
14;1;-215.237655349272;19.750478359093;CONSTRAINTS_VIOLATED;1683;1588;104.46667281766821;2000000000;2000000000;357628586.6666667;0;33.333333333333336;0.24959713061431224;7.975224557945142;19.750478359093034;24.508351648085668;15.200000000000001;1683;1588;113.43141108004318;1;2000000000;2000000000;358917461.3333333;1;1683;1588;74;2;3.2000676013095486;9;G1;689;-TieredCompilation;2
13;1;-44.626288558827994;9.06122201414119;COMPLETED;2787;1025;407.6591192308501;2000000000;2000000000;398118448.7619048;0;139.46428571428572;0.09796436903282005;3.7588720626744396;9.061222014141192;41.18702060626411;197.26657414066992;5972.142857142857;2196.4285714285716;671.2189729221373;2.142857142857143;4285714285.714286;4285714285.714286;833122304;2.142857142857143;2787;1025;84;4;4.281625866336311;55;Parallel;134;-TieredCompilation;3
12;1;-258.17652399817297;22.4407127953137;CONSTRAINTS_VIOLATED;1028;1027;195.88573291089892;2000000000;2000000000;379418624;0;50;0.46838172197473615;10.784302345051145;22.4407127953137;31.55549145302345;14.845698333333335;2056;2054;429.98288443429516;2;4000000000;4000000000;759578624;2;1028;1027;47;4;4.4539398941072745;58;G1;173;-TieredCompilation;1
11;1;-842.257955116097;59.0349694441944;COMPLETED;2860;406;197.15776260218863;2000000000;2000000000;344764160.95268476;0;503.0701754385965;0.6508404564815736;10.144299754611955;59.03496944419438;198.9659498828772;193.4615059987237;41595.43859649123;5904.80701754386;2201.4870870706454;14.543859649122806;29087719298.245613;29087719298.245613;5202585851.508772;14.24561403508772;2860;406;33;3;4.71875;7;Parallel;728;+TieredCompilation;2
10;1;-118.74835471998702;13.7051667929629;COMPLETED;2016;618;208.1717863127731;2000000000;2000000000;570327648.6398218;0;361.4035087719298;0.057732773022674815;2.886638651133741;13.705166792962864;65.61952519302828;192.99459395074996;12626.526315789473;3870.6315789473683;821.2679983532189;6.2631578947368425;12526315789.473684;12526315789.473684;3636978095.1578946;6.140350877192983;2016;618;41;3;1.90625;19;G1;1448;+TieredCompilation;4
9;1;-324.607421961991;26.6027854105151;COMPLETED;2578;1044;268.31819649214043;2000000000;2000000000;473833561.8245614;0;462.89473684210526;0.05798858788208073;2.8692447250484707;26.602785410515118;134.25930375565028;194.6594204766456;6919.894736842105;2802.315789473684;544.3613336700705;2.6842105263157894;5368421052.631579;5368421052.631579;1279761066.6666667;2.6842105263157894;2578;1044;56;4;0.78125;93;Serial;968;-TieredCompilation;3
8;1;+5.501786273667896;5.92056467082584;COMPLETED;2719;1363;359.5989883342199;2000000000;2000000000;487183671.39181286;0;18.50877192982456;0.06438358880856154;3.0439621108531134;5.920564670825841;7.601849452888513;195.04069714975265;4770.175438596491;2391.2280701754385;476.40073440957286;1.7543859649122806;3508771929.8245616;3508771929.8245616;863354448.8421053;1.7543859649122806;2719;1363;68;3;1.0625;62;G1;848;-TieredCompilation;1
7;1;-118431.52793533;7426.31578947368;CONSTRAINTS_VIOLATED;1594;512;1596.0085192956376;2000000000;2000000000;337688576;0.29011;7500;2955.6666666666665;7131.578947368421;7426.315789473684;7492.631578947369;4.236918122266965;1594;512;1400.095731476663;1;2000000000;2000000000;319167488;0.5;1594;512;37;4;3.3125;13;Parallel;1808;+TieredCompilation;3
6;1;-240.840318802417;21.3545533859366;CONSTRAINTS_VIOLATED;1031;937;230.9275448449599;2000000000;2000000000;366113450.6666667;0;183.33333333333334;0.3494528191126534;8.970139076041796;21.35455338593661;24.72845059429126;23.393364444444444;2062;1874;263.8464383871422;2;4000000000;4000000000;736388437.3333334;2;1031;937;52;3;4.4375;87;Parallel;368;-TieredCompilation;4
5;1;-204.542530819844;19.0804003338894;CONSTRAINTS_VIOLATED;2156;1788;294.48658421716783;2000000000;2000000000;322458624;0;31.25;0.2605683770225355;7.759052834314896;19.080400333889415;24.42721616975258;30.72;2156;1788;224.89787835745918;1;2000000000;2000000000;322767872;1;2156;1788;83;2;2.1875;38;Serial;1328;+TieredCompilation;2
4;1;-193.15776374375;18.3671143671144;CONSTRAINTS_VIOLATED;1312;725;133.29289034476434;2000000000;2000000000;347928576;0;25;0.14469021390686018;6.806260736781828;18.367114367114368;24.33671143671144;15.16;1312;725;113.97515575153554;1;2000000000;2000000000;348856320;1;1312;725;45;2;1.625;75;Serial;1568;-TieredCompilation;2
3;1;+11.731024242134103;5.53028632811479;COMPLETED;2438;1575;378.58395515161044;2000000000;2000000000;535655588.5714286;0;37.767857142857146;0.05857938022606789;2.8401555244632464;5.530286328114792;8.262177554557569;198.12843665429477;3613.464285714286;2334.375;501.33697928621194;1.4821428571428572;2964285714.285714;2964285714.285714;787486573.7142857;1.4821428571428572;2438;1575;75;4;3.875;25;G1;608;+TieredCompilation;4
2;1;-2091.01208800096;137.272740404787;COMPLETED;1875;1150;401.60478397971303;2000000000;2000000000;530298853.9936508;0;1236.7857142857142;0.0826694427780633;27.900665808570775;137.2727404047867;566.4040256239974;202.5815224688512;5000;3066.6666666666665;939.7752397797461;2.6666666666666665;5333333333.333333;5333333333.333333;1503380333.7142856;2.5238095238095237;1875;1150;60;3;2.75;50;Parallel;1088;-TieredCompilation;3
1;3;0;6.0073580703311;COMPLETED;2000;500;189.68103248901986;2000000000;2000000000;440312726.20662767;0;184.03508771929825;0.0583363527884285;2.9168176394214247;6.0073580703311;13.785240520414625;193.419023673887;15263.157894736842;3815.7894736842104;1040.2219905571628;7.631578947368421;15263157894.736841;15263157894.736841;3456355705.263158;7.508771929824562;2000;500;50;;;;;512;;
1;2;0;6.37027779720786;COMPLETED;2000;500;185.5568589139764;2000000000;2000000000;435146480.14415526;0;128.859649122807;0.059942835692052825;2.997141784602641;6.370277797207862;16.878411169646366;193.56437418574703;18877.19298245614;4719.298245614035;1230.9899686730118;9.43859649122807;18877192982.45614;18877192982.45614;4258166316.9122806;9.192982456140351;2000;500;50;;;;;512;;
1;1;0;6.41816281699025;COMPLETED;2000;500;202.3073956202484;2000000000;2000000000;461019363.1187606;0;183.57142857142858;0.0586373693473091;2.939519697158699;6.418162816990254;39.05536429992345;199.1800108201547;17000;4250;1127.4464625392452;8.5;17000000000;17000000000;3969025901.714286;8.142857142857142;2000;500;50;;;;;512;;
