Exp ;Trial;Relative Score;Score;Status;metric-petclinic_container.container_cpu_limit (millicores);metric-petclinic_container.container_cpu_request (millicores);metric-petclinic_container.container_cpu_used (millicores);metric-petclinic_container.container_memory_limit (bytes);metric-petclinic_container.container_memory_request (bytes);metric-petclinic_container.container_memory_used (bytes);metric-petclinic_container.container_restarts (events);metric-petclinic_webapp.requests_response_time_max (milliseconds);metric-petclinic_webapp.requests_response_time_min (milliseconds);metric-petclinic_webapp.requests_response_time_p50 (milliseconds);metric-petclinic_webapp.requests_response_time_p90 (milliseconds);metric-petclinic_webapp.requests_response_time_p99 (milliseconds);metric-petclinic_webapp.requests_throughput (requests/s);metric-petclinic_workload.k8s_workload_cpu_limit (millicores);metric-petclinic_workload.k8s_workload_cpu_request (millicores);metric-petclinic_workload.k8s_workload_cpu_used (millicores);metric-petclinic_workload.k8s_workload_desired_pods (pods);metric-petclinic_workload.k8s_workload_memory_limit (bytes);metric-petclinic_workload.k8s_workload_memory_request (bytes);metric-petclinic_workload.k8s_workload_memory_used (bytes);metric-petclinic_workload.k8s_workload_running_pods (pods);parameter-petclinic_container.cpu_limit (millicores);parameter-petclinic_container.cpu_request (millicores);parameter-petclinic_hpa.targetCPUUtilizationPercentage (percentage);parameter-petclinic_jvm.jvm_compilationThreads (threads);parameter-petclinic_jvm.jvm_compileThresholdScaling;parameter-petclinic_jvm.jvm_GCTimeRatio;parameter-petclinic_jvm.jvm_gcType;parameter-petclinic_jvm.jvm_maxHeapSize (megabytes);parameter-petclinic_jvm.jvm_tieredCompilation;parameter-petclinic_jvm.jvm_tieredCompilationStopAtLevel
20;1;;;RUNNING;;;;;;;;;;;;;;;;;;;;;;2813;617;90;4;4.511730253321455;29;Parallel;627;+TieredCompilation;4
19;1;-1032.87920554612;70.9778982711141;COMPLETED;2859;399;223.68929108457138;2000000000;2000000000;369231968.13061225;0;617.4107142857143;0.7556295702192176;10.831964558575786;70.97789827111414;262.82670369756147;198.54530099899037;42017.08928571428;5863.875;2397.1345644473818;14.696428571428571;29392857142.857143;29392857142.857143;5570787693.714286;14.285714285714286;2859;399;33;3;4.741467702987735;8;G1;735;+TieredCompilation;2
18;1;-16.068750734131008;7.27201624121176;CONSTRAINTS_VIOLATED;2001;2000;353.8966692343599;2000000000;2000000000;367142229.3333333;0;30.833333333333332;0.08630432642802237;4.026033863202598;7.2720162412117615;10.025061364633622;110.36;2001;2000;382.09747266945806;1;2000000000;2000000000;370042197.3333333;1;2001;2000;90;2;0.5143614741016094;74;Parallel;128;-TieredCompilation;4
17;1;-320.547020450464;26.348390445885;COMPLETED;2365;868;265.7138841580436;2000000000;2000000000;401584772.3415205;0;422.8070175438597;0.061254026012357576;2.993076026446235;26.34839044588501;149.19651192549713;194.7376573058719;6638.5964912280715;2436.4912280701756;557.449694551634;2.807017543859649;5614035087.719298;5614035087.719298;1160775284.7719297;2.7017543859649122;2365;868;62;3;0.9349772793905523;98;Serial;397;-TieredCompilation;2
16;1;-212.85912860352698;19.6014573261638;CONSTRAINTS_VIOLATED;2977;1996;126.17983875907295;2000000000;2000000000;419166890.6666667;0;50;0.26291182644311295;7.822480542423296;19.601457326163764;24.53944475118121;15.816666666666665;2977;1996;112.0982469844741;1;2000000000;2000000000;558075904;1;2977;1996;68;3;1.840719684705592;94;G1;1728;+TieredCompilation;1
15;1;-355.65050712984396;28.5477173417206;COMPLETED;2052;473;219.10979411284646;2000000000;2000000000;481045686.9033189;0;636.6071428571429;0.18065111431895894;7.188237544022393;28.54771734172064;252.05120404924673;197.71683962656843;24440.785714285714;5633.767857142857;1829.9950296790225;11.892857142857142;23821428571.42857;23821428571.42857;5918915876.571428;11.357142857142858;2052;473;58;4;4.540736460271741;59;G1;2024;-TieredCompilation;3
14;1;-215.237655349272;19.750478359093;CONSTRAINTS_VIOLATED;1683;1588;104.46667281766821;2000000000;2000000000;357628586.6666667;0;33.333333333333336;0.24959713061431224;7.975224557945142;19.750478359093034;24.508351648085668;15.200000000000001;1683;1588;113.43141108004318;1;2000000000;2000000000;358917461.3333333;1;1683;1588;74;2;3.2000676013095486;9;G1;689;-TieredCompilation;2
13;1;-44.626288558827994;9.06122201414119;COMPLETED;2787;1025;407.6591192308501;2000000000;2000000000;398118448.7619048;0;139.46428571428572;0.09796436903282005;3.7588720626744396;9.061222014141192;41.18702060626411;197.26657414066992;5972.142857142857;2196.4285714285716;671.2189729221373;2.142857142857143;4285714285.714286;4285714285.714286;833122304;2.142857142857143;2787;1025;84;4;4.281625866336311;55;Parallel;134;-TieredCompilation;3
12;1;-258.17652399817297;22.4407127953137;CONSTRAINTS_VIOLATED;1028;1027;195.88573291089892;2000000000;2000000000;379418624;0;50;0.46838172197473615;10.784302345051145;22.4407127953137;31.55549145302345;14.845698333333335;2056;2054;429.98288443429516;2;4000000000;4000000000;759578624;2;1028;1027;47;4;4.4539398941072745;58;G1;173;-TieredCompilation;1
11;1;-842.257955116097;59.0349694441944;COMPLETED;2860;406;197.15776260218863;2000000000;2000000000;344764160.95268476;0;503.0701754385965;0.6508404564815736;10.144299754611955;59.03496944419438;198.9659498828772;193.4615059987237;41595.43859649123;5904.80701754386;2201.4870870706454;14.543859649122806;29087719298.245613;29087719298.245613;5202585851.508772;14.24561403508772;2860;406;33;3;4.71875;7;Parallel;728;+TieredCompilation;2
10;1;-118.74835471998702;13.7051667929629;COMPLETED;2016;618;208.1717863127731;2000000000;2000000000;570327648.6398218;0;361.4035087719298;0.057732773022674815;2.886638651133741;13.705166792962864;65.61952519302828;192.99459395074996;12626.526315789473;3870.6315789473683;821.2679983532189;6.2631578947368425;12526315789.473684;12526315789.473684;3636978095.1578946;6.140350877192983;2016;618;41;3;1.90625;19;G1;1448;+TieredCompilation;4
9;1;-324.607421961991;26.6027854105151;COMPLETED;2578;1044;268.31819649214043;2000000000;2000000000;473833561.8245614;0;462.89473684210526;0.05798858788208073;2.8692447250484707;26.602785410515118;134.25930375565028;194.6594204766456;6919.894736842105;2802.315789473684;544.3613336700705;2.6842105263157894;5368421052.631579;5368421052.631579;1279761066.6666667;2.6842105263157894;2578;1044;56;4;0.78125;93;Serial;968;-TieredCompilation;3
